Word,StringLength
a,1
ability,7
able,4
about,5
above,5
accept,6
according,9
account,7
across,6
act,3
action,6
activity,8
actually,8
add,3
address,7
administration,14
admit,5
adult,5
affect,6
after,5
again,5
against,7
age,3
agency,6
agent,5
ago,3
agree,5
agreement,9
ahead,5
air,3
all,3
allow,5
almost,6
alone,5
along,5
already,7
also,4
although,8
always,6
American,8
among,5
amount,6
analysis,8
and,3
animal,6
another,7
answer,6
any,3
anyone,6
anything,8
appear,6
apply,5
approach,8
area,4
argue,5
arm,3
around,6
arrive,6
art,3
article,7
artist,6
as,2
ask,3
assume,6
at,2
attack,6
attention,9
attorney,8
audience,8
author,6
authority,9
available,9
avoid,5
away,4
baby,4
back,4
bad,3
bag,3
ball,4
bank,4
bar,3
base,4
be,2
beat,4
beautiful,9
because,7
become,6
bed,3
before,6
begin,5
behavior,8
behind,6
believe,7
benefit,7
best,4
better,6
between,7
beyond,6
big,3
bill,4
billion,7
bit,3
black,5
blood,5
blue,4
board,5
body,4
book,4
born,4
both,4
box,3
boy,3
break,5
bring,5
brother,7
budget,6
build,5
building,8
business,8
but,3
buy,3
by,2
call,4
camera,6
campaign,8
can,3
cancer,6
candidate,9
capital,7
car,3
card,4
care,4
career,6
carry,5
case,4
catch,5
cause,5
cell,4
center,6
central,7
century,7
certain,7
certainly,9
chair,5
challenge,9
chance,6
change,6
character,9
charge,6
check,5
child,5
choice,6
choose,6
church,6
citizen,7
city,4
civil,5
claim,5
class,5
clear,5
clearly,7
close,5
coach,5
cold,4
collection,10
college,7
color,5
come,4
commercial,10
common,6
community,9
company,7
compare,7
computer,8
concern,7
condition,9
conference,10
Congress,8
consider,8
consumer,8
contain,7
continue,8
control,7
cost,4
could,5
country,7
couple,6
course,6
court,5
cover,5
create,6
crime,5
cultural,8
culture,7
cup,3
current,7
customer,8
cut,3
dark,4
data,4
daughter,8
day,3
dead,4
deal,4
death,5
debate,6
decade,6
decide,6
decision,8
deep,4
defense,7
degree,6
Democrat,8
democratic,10
describe,8
design,6
despite,7
detail,6
determine,9
develop,7
development,11
die,3
difference,10
different,9
difficult,9
dinner,6
direction,9
director,8
discover,8
discuss,7
discussion,10
disease,7
do,2
doctor,6
dog,3
door,4
down,4
draw,4
dream,5
drive,5
drop,4
drug,4
during,6
each,4
early,5
east,4
easy,4
eat,3
economic,8
economy,7
edge,4
education,9
effect,6
effort,6
eight,5
either,6
election,8
else,4
employee,8
end,3
energy,6
enjoy,5
enough,6
enter,5
entire,6
environment,11
environmental,13
especially,10
establish,9
even,4
evening,7
event,5
ever,4
every,5
everybody,9
everyone,8
everything,10
evidence,8
exactly,7
example,7
executive,9
exist,5
expect,6
experience,10
expert,6
explain,7
eye,3
face,4
fact,4
factor,6
fail,4
fall,4
family,6
far,3
fast,4
father,6
fear,4
federal,7
feel,4
feeling,7
few,3
field,5
fight,5
figure,6
fill,4
film,4
final,5
finally,7
financial,9
find,4
fine,4
finger,6
finish,6
fire,4
firm,4
first,5
fish,4
five,4
floor,5
fly,3
focus,5
follow,6
food,4
foot,4
for,3
force,5
foreign,7
forget,6
form,4
former,6
forward,7
four,4
free,4
friend,6
from,4
front,5
full,4
fund,4
future,6
game,4
garden,6
gas,3
general,7
generation,10
get,3
girl,4
give,4
glass,5
go,2
goal,4
good,4
government,10
great,5
green,5
ground,6
group,5
grow,4
growth,6
guess,5
gun,3
guy,3
hair,4
half,4
hand,4
hang,4
happen,6
happy,5
hard,4
have,4
he,2
head,4
health,6
hear,4
heart,5
heat,4
heavy,5
help,4
her,3
here,4
herself,7
high,4
him,3
himself,7
his,3
history,7
hit,3
hold,4
home,4
hope,4
hospital,8
hot,3
hotel,5
hour,4
house,5
how,3
however,7
huge,4
human,5
hundred,7
husband,7
I,1
idea,4
identify,8
if,2
image,5
imagine,7
impact,6
important,9
improve,7
in,2
include,7
including,9
increase,8
indeed,6
indicate,8
individual,10
industry,8
information,11
inside,6
instead,7
institution,11
interest,8
interesting,11
international,13
interview,9
into,4
investment,10
involve,7
issue,5
it,2
item,4
its,3
itself,6
job,3
join,4
just,4
keep,4
key,3
kid,3
kill,4
kind,4
kitchen,7
know,4
knowledge,9
land,4
language,8
large,5
last,4
late,4
later,5
laugh,5
law,3
lawyer,6
lay,3
lead,4
leader,6
learn,5
least,5
leave,5
left,4
leg,3
legal,5
less,4
let,3
letter,6
level,5
lie,3
life,4
light,5
like,4
likely,6
line,4
list,4
listen,6
little,6
live,4
local,5
long,4
look,4
lose,4
loss,4
lot,3
love,4
low,3
machine,7
magazine,8
main,4
maintain,8
major,5
majority,8
make,4
man,3
manage,6
management,10
manager,7
many,4
market,6
marriage,8
material,8
matter,6
may,3
maybe,5
me,2
mean,4
measure,7
media,5
medical,7
meet,4
meeting,7
member,6
memory,6
mention,7
message,7
method,6
middle,6
might,5
military,8
million,7
mind,4
minute,6
miss,4
mission,7
model,5
modern,6
moment,6
money,5
month,5
more,4
morning,7
most,4
mother,6
mouth,5
move,4
movement,8
movie,5
Mr,2
Mrs,3
much,4
music,5
must,4
my,2
myself,6
name,4
nation,6
national,8
natural,7
nature,6
near,4
nearly,6
necessary,9
need,4
network,7
never,5
new,3
news,4
newspaper,9
next,4
nice,4
night,5
no,2
none,4
nor,3
north,5
not,3
note,4
nothing,7
notice,6
now,3
n't,3
number,6
occur,5
of,2
off,3
offer,5
office,6
officer,7
official,8
often,5
oh,2
oil,3
ok,2
old,3
on,2
once,4
one,3
only,4
onto,4
open,4
operation,9
opportunity,11
option,6
or,2
order,5
organization,12
other,5
others,6
our,3
out,3
outside,7
over,4
own,3
owner,5
page,4
pain,4
painting,8
paper,5
parent,6
part,4
participant,11
particular,10
particularly,12
partner,7
party,5
pass,4
past,4
patient,7
pattern,7
pay,3
peace,5
people,6
per,3
perform,7
performance,11
perhaps,7
period,6
person,6
personal,8
phone,5
physical,8
pick,4
picture,7
piece,5
place,5
plan,4
plant,5
play,4
player,6
PM,2
point,5
police,6
policy,6
political,9
politics,8
poor,4
popular,7
population,10
position,8
positive,8
possible,8
power,5
practice,8
prepare,7
present,7
president,9
pressure,8
pretty,6
prevent,7
price,5
private,7
probably,8
problem,7
process,7
produce,7
product,7
production,10
professional,12
professor,9
program,7
project,7
property,8
protect,7
prove,5
provide,7
public,6
pull,4
purpose,7
push,4
put,3
quality,7
question,8
quickly,7
quite,5
race,4
radio,5
raise,5
range,5
rate,4
rather,6
reach,5
read,4
ready,5
real,4
reality,7
realize,7
really,6
reason,6
receive,7
recent,6
recently,8
recognize,9
record,6
red,3
reduce,6
reflect,7
region,6
relate,6
relationship,12
religious,9
remain,6
remember,8
remove,6
report,6
represent,9
Republican,10
require,7
research,8
resource,8
respond,7
response,8
responsibility,14
rest,4
result,6
return,6
reveal,6
rich,4
right,5
rise,4
risk,4
road,4
rock,4
role,4
room,4
rule,4
run,3
safe,4
same,4
save,4
say,3
scene,5
school,6
science,7
scientist,9
score,5
sea,3
season,6
seat,4
second,6
section,7
security,8
see,3
seek,4
seem,4
sell,4
send,4
senior,6
sense,5
series,6
serious,7
serve,5
service,7
set,3
seven,5
several,7
sex,3
sexual,6
shake,5
share,5
she,3
shoot,5
short,5
shot,4
should,6
shoulder,8
show,4
side,4
sign,4
significant,11
similar,7
simple,6
simply,6
since,5
sing,4
single,6
sister,6
sit,3
site,4
situation,9
six,3
size,4
skill,5
skin,4
small,5
smile,5
so,2
social,6
society,7
soldier,7
some,4
somebody,8
someone,7
something,9
sometimes,9
son,3
song,4
soon,4
sort,4
sound,5
source,6
south,5
southern,8
space,5
speak,5
special,7
specific,8
speech,6
spend,5
sport,5
spring,6
staff,5
stage,5
stand,5
standard,8
star,4
start,5
state,5
statement,9
station,7
stay,4
step,4
still,5
stock,5
stop,4
store,5
story,5
strategy,8
street,6
strong,6
structure,9
student,7
study,5
stuff,5
style,5
subject,7
success,7
successful,10
such,4
suddenly,8
suffer,6
suggest,7
summer,6
support,7
sure,4
surface,7
system,6
table,5
take,4
talk,4
task,4
tax,3
teach,5
teacher,7
team,4
technology,10
television,10
tell,4
ten,3
tend,4
term,4
test,4
than,4
thank,5
that,4
the,3
their,5
them,4
themselves,10
then,4
theory,6
there,5
these,5
they,4
thing,5
think,5
third,5
this,4
those,5
though,6
thought,7
thousand,8
threat,6
three,5
through,7
throughout,10
throw,5
thus,4
time,4
to,2
today,5
together,8
tonight,7
too,3
top,3
total,5
tough,5
toward,6
town,4
trade,5
traditional,11
training,8
travel,6
treat,5
treatment,9
tree,4
trial,5
trip,4
trouble,7
TRUE,4
truth,5
try,3
turn,4
TV,2
two,3
type,4
under,5
understand,10
unit,4
until,5
up,2
upon,4
us,2
use,3
usually,7
value,5
various,7
very,4
victim,6
view,4
violence,8
visit,5
voice,5
vote,4
wait,4
walk,4
wall,4
want,4
war,3
watch,5
water,5
way,3
we,2
weapon,6
wear,4
week,4
weight,6
well,4
west,4
western,7
what,4
whatever,8
when,4
where,5
whether,7
which,5
while,5
white,5
who,3
whole,5
whom,4
whose,5
why,3
wide,4
wife,4
will,4
win,3
wind,4
window,6
wish,4
with,4
within,6
without,7
woman,5
wonder,6
word,4
work,4
worker,6
world,5
worry,5
would,5
write,5
writer,6
wrong,5
yard,4
yeah,4
year,4
yes,3
yet,3
you,3
young,5
your,4
yourself,8
